iter	Passed	Remaining
0	0	535
1	0	405
2	1	356
3	1	326
4	1	309
5	1	306
6	2	302
7	2	297
8	2	291
9	2	286
10	3	283
11	3	284
12	3	281
13	3	279
14	4	276
15	4	273
16	4	270
17	4	268
18	5	265
19	5	263
20	5	262
21	5	260
22	6	261
23	6	259
24	6	258
25	6	259
26	7	258
27	7	256
28	7	254
29	7	254
30	8	252
31	8	251
32	8	249
33	8	248
34	8	247
35	9	247
36	9	249
37	9	249
38	10	250
39	10	250
40	10	249
41	10	248
42	11	248
43	11	248
44	11	247
45	11	247
46	12	246
47	12	245
48	12	245
49	12	244
50	13	244
51	13	243
52	13	243
53	13	242
54	14	241
55	14	241
56	14	244
57	15	244
58	15	248
59	16	251
60	16	250
61	16	250
62	16	249
63	17	249
64	17	249
65	17	250
66	17	250
67	18	249
68	18	248
69	18	248
70	18	247
71	19	247
72	19	246
73	19	246
74	19	245
75	20	244
76	20	245
77	20	245
78	20	244
79	21	243
80	21	243
81	21	242
82	21	240
83	22	240
84	22	239
85	22	239
86	22	238
87	22	238
88	23	237
89	23	237
90	23	236
91	23	236
92	24	236
93	24	236
94	25	243
95	25	242
96	25	242
97	26	241
98	26	240
99	26	240
100	26	239
101	27	238
102	27	238
103	27	237
104	27	237
105	28	237
106	28	238
107	28	237
108	28	236
109	29	236
110	29	235
111	29	235
112	29	234
113	30	234
114	30	234
115	30	234
116	30	233
117	31	234
118	31	233
119	31	233
120	32	233
121	32	232
122	32	233
123	33	234
124	33	234
125	33	234
126	33	233
127	34	233
128	34	232
129	34	232
130	35	232
131	35	231
132	35	231
133	35	230
134	35	230
135	36	229
136	36	229
137	36	228
138	36	228
139	37	228
140	38	231
141	38	230
142	38	230
143	38	230
144	39	231
145	39	230
146	39	230
147	39	230
148	40	229
149	40	229
150	40	229
151	40	228
152	41	228
153	41	227
154	41	227
155	42	227
156	42	226
157	42	226
158	42	226
159	43	226
160	43	225
161	43	225
162	44	226
163	44	225
164	44	225
165	44	225
166	45	225
167	45	225
168	45	224
169	45	224
170	46	225
171	46	225
172	46	224
173	47	224
174	47	223
175	47	224
176	48	224
177	48	223
178	48	223
179	49	223
180	49	222
181	49	222
182	49	222
183	50	221
184	50	221
185	50	221
186	50	220
187	51	221
188	51	220
189	51	220
190	52	220
191	52	220
192	52	219
193	52	219
194	53	219
195	53	219
196	53	218
197	53	218
198	54	217
199	54	217
200	54	217
201	54	216
202	55	216
203	55	215
204	55	215
205	56	216
206	56	216
207	56	216
208	57	216
209	57	216
210	57	216
211	58	216
212	58	216
213	58	215
214	59	215
215	59	215
216	59	214
217	59	214
218	60	214
219	60	213
220	60	213
221	60	213
222	61	212
223	61	212
224	61	212
225	62	212
226	62	212
227	62	211
228	62	211
229	63	211
230	63	211
231	63	210
232	63	210
233	64	209
234	64	209
235	64	209
236	64	208
237	65	208
238	65	208
239	65	207
240	65	207
241	66	207
242	66	207
243	66	207
244	67	206
245	67	206
246	67	206
247	67	205
248	68	205
249	68	205
250	68	204
251	68	204
252	69	204
253	69	203
254	69	203
255	69	202
256	70	202
257	70	202
258	70	202
259	70	201
260	71	201
261	71	201
262	71	201
263	72	200
264	72	200
265	72	199
266	72	199
267	73	199
268	73	199
269	73	199
270	73	198
271	74	198
272	74	198
273	74	197
274	74	197
275	75	197
276	75	197
277	75	196
278	75	196
279	76	196
280	76	195
281	76	195
282	77	195
283	77	195
284	77	195
285	78	195
286	78	195
287	79	195
288	79	195
289	79	194
290	79	194
291	80	194
292	80	193
293	80	194
294	81	193
295	81	193
296	81	193
297	82	193
298	82	192
299	82	192
300	82	192
301	82	191
302	83	191
303	83	190
304	83	190
305	83	190
306	84	190
307	84	189
308	84	189
309	84	189
310	85	188
311	85	188
312	85	188
313	85	187
314	86	187
315	86	187
316	86	186
317	87	186
318	87	186
319	87	186
320	87	185
321	88	185
322	88	185
323	88	185
324	88	184
325	89	184
326	89	183
327	89	183
328	89	183
329	90	182
330	90	182
331	90	182
332	90	181
333	91	181
334	91	181
335	91	180
336	91	180
337	92	180
338	92	179
339	92	179
340	92	179
341	93	179
342	93	179
343	93	178
344	93	178
345	94	178
346	94	177
347	94	177
348	94	177
349	95	176
350	95	176
351	95	176
352	96	175
353	96	175
354	96	175
355	96	174
356	96	174
357	97	174
358	97	173
359	97	173
360	97	173
361	98	172
362	98	172
363	98	172
364	98	171
365	99	171
366	99	171
367	99	170
368	99	170
369	100	170
370	100	170
371	100	169
372	100	169
373	101	169
374	101	168
375	101	168
376	101	168
377	102	168
378	102	167
379	103	168
380	103	168
381	103	168
382	104	167
383	104	167
384	104	167
385	104	166
386	105	166
387	105	166
388	105	165
389	105	165
390	105	165
391	106	164
392	106	164
393	106	164
394	107	164
395	107	163
396	107	163
397	107	163
398	108	163
399	109	163
400	109	163
401	109	163
402	110	163
403	110	162
404	110	162
405	111	162
406	111	162
407	111	161
408	111	161
409	112	161
410	112	161
411	112	160
412	112	160
413	113	160
414	113	159
415	113	159
416	113	159
417	114	158
418	114	158
419	114	158
420	114	157
421	115	157
422	115	157
423	115	157
424	116	156
425	116	156
426	116	156
427	116	155
428	116	155
429	117	155
430	117	155
431	117	154
432	118	154
433	118	155
434	119	155
435	119	154
436	119	154
437	120	154
438	120	153
439	120	153
440	120	153
441	121	152
442	121	152
443	121	152
444	121	152
445	122	151
446	122	151
447	122	151
448	122	150
449	123	150
450	123	150
451	123	150
452	124	149
453	124	149
454	124	149
455	125	149
456	125	148
457	125	148
458	125	148
459	126	148
460	126	147
461	126	147
462	126	147
463	127	146
464	127	146
465	127	146
466	128	146
467	128	145
468	128	145
469	128	145
470	129	144
471	129	144
472	129	144
473	129	143
474	129	143
475	130	143
476	130	142
477	130	142
478	130	142
479	131	142
480	131	141
481	131	141
482	131	141
483	132	140
484	132	140
485	132	140
486	132	139
487	133	139
488	133	139
489	133	139
490	134	138
491	134	138
492	134	138
493	134	138
494	135	137
495	135	137
